file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,word2,-1
11,10,10,20,0,10
11,12,10,22,1,9
101,112,100,212,1,99
101,107,100,207,0,100
1046,1150,1045,2195,26,1019
1068,1154,1067,2221,15,1052
10183,11056,10182,21238,88,10094
10745,11562,10744,22306,98,10646
48733,53444,48732,102176,679,48053
187153,202799,187152,389951,2470,184682
559618,606311,559617,1165928,6410,553207
1010777,1094310,1010776,2105086,12422,998354
395529,429969,395528,825497,5615,389913
2665788,2904553,2665787,5570340,35739,2630048
4808754,5213415,4808753,10022168,57709,4751044
24652312,26844663,24652311,51496974,341283,24311028
48087540,52134159,48087539,100221698,577090,47510449
