file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,word3,-1
11,12,12,24,0,12
11,12,12,24,0,12
101,102,102,204,7,95
101,102,102,204,8,94
1046,1047,1047,2094,43,1004
1068,1069,1069,2138,56,1013
10183,10184,10184,20368,593,9591
10745,10746,10746,21492,657,10089
48733,48734,48734,97468,2723,46011
187153,187154,187154,374308,11610,175544
559618,559619,559619,1119238,32836,526783
1010777,1010778,1010778,2021556,60686,950092
395529,395530,395530,791060,23428,372102
2665788,2665789,2665789,5331578,156239,2509550
4808754,4808755,4808755,9617510,286821,4521934
24652312,24652313,24652313,49304626,1441298,23211015
48087540,48087541,48087541,96175082,2868210,45219331
