file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,phrase1,293
11,0,0,0,0,0
11,0,0,0,0,0
101,0,47,47,0,0
101,0,47,47,0,0
1046,1,992,993,0,1
1068,5,1014,1019,0,5
10183,41,10129,10170,0,41
10745,34,10691,10725,0,34
48733,172,48679,48851,0,172
187153,707,187099,187806,1,644
559618,1942,559564,561506,0,1934
1010777,3674,1010723,1014397,2,3549
395529,1391,395475,396866,0,1390
2665788,9213,2665734,2674947,0,9201
4808754,16673,4808700,4825373,5,16339
24652312,84898,24652258,24737156,10,84110
48087540,166730,48087486,48254216,50,163390
