file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,phrase3,-1
11,0,0,0,0,0
11,0,0,0,0,0
101,0,0,0,0,0
101,0,0,0,0,0
1046,837,837,1674,0,837
1068,867,859,1726,0,859
10183,10226,9974,20200,1,9973
10745,10580,10536,21116,0,10536
48733,48638,48524,97162,0,48524
187153,187672,186944,374616,0,186944
559618,562253,559409,1121662,1,559408
1010777,1014526,1010568,2025094,1,1010567
395529,396516,395320,791836,0,395320
2665788,2670732,2665579,5336311,0,2665579
4808754,4826047,4808545,9634592,5,4808540
24652312,24722929,24652103,49375032,10,24652093
48087540,48262351,48087331,96349682,50,48087281
