file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,word1,-1
13,14,14,28,0,14
101,102,102,204,7,95
1045,1046,1046,2092,43,1003
48733,48734,48734,97468,2723,46011
10183,10184,10184,20368,593,9591
185919,185920,185920,371840,11527,174393
559618,559619,559619,1119238,32836,526783
1010777,1010778,1010778,2021556,60686,950092
2665788,2665789,2665789,5331578,156239,2509550
4808754,4808755,4808755,9617510,286821,4521934
24652312,24652313,24652313,49304626,1441298,23211015
48087540,48087541,48087541,96175082,2868210,45219331
