file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,phrase1,-1
11,0,0,0,0,0
11,0,0,0,0,0
101,48,48,96,0,48
101,48,48,96,0,48
1046,994,993,1987,0,993
1068,1024,1015,2039,0,1015
10183,10179,10130,20309,0,10130
10745,10741,10692,21433,0,10692
48733,48789,48680,97469,0,48680
187153,187914,187100,375014,1,187099
559618,562345,559565,1121910,0,559565
1010777,1014826,1010724,2025550,2,1010722
395529,396687,395476,792163,0,395476
2665788,2671208,2665735,5336943,0,2665735
4808754,4826601,4808701,9635302,5,4808696
24652312,24724526,24652259,49376785,10,24652249
48087540,48266487,48087487,96353974,50,48087437
